label	statement
1	The turnout on May 14th was just 7 percent -- the lowest turnout in decades.
1	Republican House candidateMarilinda Garcia even opposes closing the loophole that allows dangerous criminals to get a gun without a background check.
1	Says New Jersey Devils managing partner Jeff Vanderbeek froze all those monies during the toughest years in 08-09 and refused to give the charitable dollars that he was required to give by the contract.
1	Its expressly prohibited by law that you can read and wholly surveil domestic email traffic in the United States.
0	Newt Gingrich co-sponsored a bill with Nancy Pelosi that would have given $60 million a year to a U.N. program supporting Chinas brutal one-child policy.
1	I have always opposed drivers licenses for illegal aliens.
1	Weve saved over $100 million of (health care) costs in Milwaukee County. I did that.
0	This (Independent Payment Advisory Board) board can ration care and deny certain Medicare treatments so Washington can fund more wasteful spending.
0	We just had someone last week in Neenah near a school kill someone with a bow and arrow.
1	The Democratic Party is the oldest continuous political party in the world.
1	"Said he's the only Republican candidate ""who's actually turned around a government economy."""
1	This census is also the shortest and least intrusive count in modern history.
1	By the time Obama took office, The Bush administration had given the car companies $13 billion and the money was now gone.
1	Taxpayer money will provide iPod Touch devices to high school students in Utah, BlackBerry smart phones to smokers who kick the habit and funding for a study of exotic ants in East Africa.
0	The stimulus created zero jobs.
0	A few months into office, (President Barack Obama) traveled around the globe to apologize for America.
0	Says Mitt Romneys investments created zero jobs.
0	Says abortion is the most common surgery in our country.
1	Says Gov. Rick Scott returned $1 million in federal funding that would have helped the state cover the cost of overseeing insurance rates under the new health care law.
1	Says Donald Trump claimed our armed forces are a disaster.
0	There was serious voter fraud in Virginia.
1	In 1947, when I was born, there were about 450,000 lions. In the mid-70s, when my kids were born, there were about 100,000. Today, there are less than 30,000.
1	Says Donald Trump said at the Republican convention, I alone can fix it.
1	Says Walmart employees represent the largest group of Medicaid and food stamp recipients in many states, costing the taxpayer $1,000 per worker.
1	When he (Donald Trump) asked Florida to have casino gambling, we said no.
0	Since January 2008 the private sector has lost nearly 8 million jobs while local, state and federal governments added 590,000.
1	Irans regime is responsible for more than 1,000 American casualties during the Iraq war and has plotted a terrorist attack here in our nations capital.
0	Says Ohio Treasurer Josh Mandel first claimed bank fraud in June 2010 but did nothing for more than a year while raising money for his (Republican) Senate campaign.
0	Not even Tim Kaine is willing to say he trusts Hillary Clinton.
1	Says Texas lawmakers last year expanded public educations share of state spending.
1	"While in the Illinois Senate, Barack Obama passed ""tax cuts for hard-working families."""
1	In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out.
0	Accuses Ed FitzGerald of pay-to-play and corruption politics.
1	Gov. Bob McDonnell launched a raid on public education to pay for roads.
1	U.S. taxpayers paid $71,500 per job created by the stimulus bill.
0	"Photo of ""tea party"" protests shows crowd sprawling from Capitol to Washington Monument"
1	We have at least 200,000 to 300,000 hate crimes in a given year.
1	Ninety percent of people living in Gaza dont have access even to water.
1	Shaheen votes with Obama 99 percent of the time.
1	Says the majority of Americans support gay marriage.
0	The last Christians are about to leave Iraq.
0	Obama wants to increase the size of government by 23 percent.
1	Bill Heller raises taxes. Property taxes. Small business taxes. He even wants to tax the Internet. Mr. Heller said no to balancing the federal budget, that puts more debt on our kids.
0	Were only inches away from no longer being a free economy.
1	A DeKalb sewer project will create up to 4,000 direct jobs per year at peak production, many of which will be set aside exclusively for DeKalb residents.
1	Says Charlie Crist was pro-life, pro-gun and vehemently anti-tax.
1	Between 40 and 50 percent of tax filers do not owe any income tax.
0	This incident of supposed feces depicting a swastika on the wall of a bathrooms in one of the halls ... has been supported by zero fact.
1	This is the first time a party has picked up multiple seats during a regular election since the mid 1980s, making this the largest majority of any party in more than 25 years.
1	The Supreme Court said the individual mandate is a tax. So its a tax.
1	In 1998, nearly half of Floridas fourth-graders were functionally illiterate. Today, 72% of them can read.
1	This is not a joke: the president wants to house illegal aliens on our nations military installations.
1	Says a Republican-drawn map of proposed U.S. House districts for Texas gerrymanders more than nine million Latinos in Texas to make sure that we have no more electoral opportunity than we did in 1991.
1	The Interior Department has only 30 days to review an exploration plan submitted by an oil company. That leaves no time for the appropriate environmental review. The result is, they are continually waived.
0	Says Congressman Eric Cantor wants to eliminate Social Security.
0	Was Martha Kanter dispatched to Corvallis with $17 million in stimulus money to save Craig Robinsons job?
1	One out of every two kids who are graduating college right now cant find a job.
0	100 percent of the crime is committed, in estimate, by about 15 percent of the population.
1	For every $1 spent on mitigation, $4 in post-storm cleanup and rebuilding is saved.
1	Jim Renacci cheated on his income taxes and is a deadbeat citizen.
1	Were now spending 42 percent of our economy on government.
0	The bill also provides full federal funding for abortions
1	There is a federal criminal law that says its a crime to transport dentures across state lines.
1	Weve outdrawn the Super Bowl for a little while now in the arenas and stadiums that weve followed them in for the Super Bowl. Weve gone in after [the NFL] and surpassed their ticket sales.
0	A sign in Dearborn, Mich., for the Advancement of Islamic Agenda for America says, Allah be praised. America we will kill you all and nothing you can do to stop it.
1	New Jersey has the second highest rate of institutionalization of people with developmental disabilities in America. Only Texas puts more of its citizens -- confines more of its citizens -- to institutions than New Jersey.
1	Says recent polls show Americans agree with Republicans that the federal debt ceiling should not be raised and the debt and deficit should be dealt with mostly by cutting spending.
1	You see a whole bunch of Korean cars here in the United States, and you dont see any American cars in Korea.
0	Says Sheldon Whitehouse said on Senate floor: Everybody in Rhode Island who disagrees with me about Obamacare is an Aryan, is a white supremacist.
1	Illegal tobacco sales, price driven too high, has been connected to at least several cases of funding terrorism against us in multi-year investigations over the last decade and a half.
1	Understand, this is unemployment insurance. Its not welfare, as a lot of my Republican colleagues like to suggest it is. You pay into it when youre working. You get help when youre not.
1	Says President Obama has never made a statement ... that he wanted a residual force left (in Iraq).
0	I am the only candidate who ran in either the Democratic or the Republican primary who said from the very beginning (that) I will not raise taxes on the middle class.
0	Sen. Sherrod Browns vote helped pass Barack Obamas job-killing health care law, which slapped small businesses throughout Ohio with a $500 billion tax increase.
1	The people who want President Barack Obama impeached are all white, theyre all older, and guess what, theyre in the far right wing of the Republican Party.
1	The American Academy of Pediatrics supports banning guns.
1	Says under the Romney-Ryan budget ... the American Opportunity Tax Credit for college tuition would be eliminated.
1	Atlanta has issued an increasing number of citations - and collected an increasing amount of revenue - since Mayor Kasim Reed took office in 2010.
1	Tallahassee is the ninth-rainiest (city) in the nation.
1	Bill Richardson passed the first law in the nation giving National Guard soldiers $400,000 in life insurance.
1	To help balance the 2011-13 budget, Gov. Scott Walker used a credit card approach that pushed over $500 million in debt onto our children and our grandchildren costing state taxpayers more than $150 million in interest.
1	Up to 45 percent of illegal immigrants are not people that physically crossed the southern border or northern border. They are visa overstayers.
1	There are polls showing right now that the American people for the most part think its a bad idea to provide tax cuts to the wealthy.
1	Today, the United States has, sadly, one of the lowest voter turnouts of any major country on earth.
0	Says he cured Charlie Sheen and the island of Comoros of HIV with milk from goats, which had arthritis.
1	It took us four years to balance the budget. Then I gave you four surplus budgets for the first time in more than 70 years, paid $600 billion down on the national debt.
0	The Constitution simply does not authorize the federal government to own any of this land (in the Western states).
1	A 2013 state law would allow the operator of an iron ore mine in northern Wisconsin to fill in pristine streams and ponds with mine waste.
1	McCain lobbied for (a) $10-million pork project honoring conservative justice.
1	Californians consume 40 percent less energy per person than the national average
0	Every signer of the Declaration of Independence had no federal elected office experience.
1	Says Hillary Clinton was literally present when we pressed the reset button with Russia just a few months after Russia had invaded Georgia.
1	Says personal-injury trial lawyers have provided over 80 percent of the funding for the Texas Democratic Party for over a decade.
0	Promotes a chart saying that Barack Obama has increased the debt by 16 percent, compared to George W. Bush, who increased it by 115 percent.
1	Says Mark Pryor votes with Obama 93 percent of the time.
1	Donald Trump rooted for the housing crisis, because he knew he could make money off of it.
1	More than half of the people on food stamps today are children.
1	In the last 10 years we've only had 7,000 barrels of oil spilled in the Gulf ... not counting hurricanes. This well is spewing that amount every day and a half.
1	More than 125 jobs have been created at the Milwaukee Job Corps Center.
1	The Cathedral of Christ the King is one of the Archdiocese of Atlantas largest and fastest-growing parishes.
1	Says he and Bernie Sanders have very similar views on trade
1	Eighty out of 82 counties in Ohio ... have an auto manufacturing facility.
0	Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.
0	Sherrod Brown sent billions of our tax dollars to foreign countries.
1	I have 35 years' experience making change.
0	In the last three years alone, 13 times, the Supreme Court, unanimously, 9-0, including all of the presidents liberal picks, have struck down the presidents executive orders.
1	There are more members of the U.S. Senate than the number of WI families who would benefit from GOP estate tax break.
1	Florida is now the No. 1 state in the country for automobile accident fraud.
1	(Strickland) raised taxes last year to the tune of $840 million.
1	Says Russ Feingolds campaign is powered by small-dollar contributions like ours.
1	According to one study, the minimum wage today is worth $2 less than in 1968.
0	Says George Soros and Bill Gates are funding a bioweapons lab in Sierra Leone that caused the Ebola outbreak.
0	Says Gov. Scott Walker hasnt done a public event this entire year.
1	Half of all Americans have less than $10,000 in their savings account.
1	NFL players are living, on average, longer than the average male.
0	Says millions of dollars in tax breaks were paid for by busting unions, cutting BadgerCare, and raising taxes on the poor and the middle class, thanks to Elizabeth Coggs help.
1	Polls now show a majority of Catholics favor marriage equality.
1	Odd fact for odd draft: No. 2 overall pick will earn more than the No. 1 pick due to no state tax in Florida. So 2 not so bad.
0	Says our taxes have doubled with Rick Perry in office.
1	Forty percent of gross domestic product is state, local, or federal money.
0	The Republicans have never done anything really to balance the budget.
1	Without a Medicaid expansion, 275,000 more Ohioans could be getting their primary care in emergency rooms, costing everybody a lot of money.
1	Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.
1	80 percent of the American people havent gotten a pay raise since the crash.
1	Republican candidate for governor Allan Fung donated to Democrats like Congressman David Cicilline, disgraced (House) speaker Gordon Fox and even Mr. Obamacare, Harry Reid.
1	Oil companies can obtain an acre of public land for less than the price of a Big Mac.
0	Says Bobby Jindals parents used his birthright citizenship to become Americans, making him an anchor baby.
1	Says under the Senate immigration bill, newly legalized immigrants will pay every tax possible, but you dont get a single benefit for 10 years.
0	Says PolitiFact says Amendment 4 will force counties and cities across Florida to raise taxes and fees.
0	Welfare programs caused more long-term damage to Detroit than the atomic bomb caused to Hiroshima
1	The John McCain Twitter account has more than 1.1 million followers. The official White House Twitter account has only about 830,000.
0	Obama was enrolled in a Wahabi school in Jakarta. Wahabism is the RADICAL teaching that is followed by the Muslim terrorists who are now waging Jihad against the western world.
0	New food safety legislation will regulate backyard gardening.
0	Says U.S. Rep. Steve Southerland voted himself health care for life.
0	"Obama's wife wrote a paper in college that said America was a nation founded on ""crime and hatred"" and that whites in America are ""ineradicably racist."""
1	If Texas were a country our economy would rank # 10...in the WORLD.
0	Congress Approves Bill Offering Free Cars To Welfare Recipients.
1	Says Texas is last in mental health expenditures.
1	McCain used to buck his party on immigration by fighting for comprehensive reform. . . . But when he was running for his party's nomination, he . . . said that he wouldn't even support his own legislation if it came up for a vote.
1	Two-thirds of the top-rated hospitals in Florida were our hospitals.
1	We are the only industrialized nation that relies heavily on a for-profit medical insurance industry to provide basic health care.
0	I never said that Marco Rubio was Mark Zuckerbergs personal senator.
1	The IRS filed an $11,000 lien against (Allen) West for back taxes. Three liens were placed on his home for unpaid bills, and a judge ordered West to pay over $5,000 for past due credit card bills.
1	Since parole abolition, Virginias crime rate has fallen to third lowest in the country, our recidivism rate is down 20 percent and thats the second lowest in the country.
1	Says Bernie Sanders advocated putting Iranian troops into Syria to try and resolve the conflict there. Putting them right on the doorstep of Israel.
0	Roughly 25% of RI has a criminal record
1	The United States ranks second worst in income inequality across developed countries, after taxes and transfers.
1	We borrow money from the Chinese to buy oil from the Saudis.
0	Says for the duration of this recession not a single person in government middle management has lost (a) job or taken a pay cut.
1	"During the Reagan era, ""the richest Americans had their top income tax rate cut in half."""
0	Says thousands at a Manhattan rally for Donald Trump were chanting We hate Muslims, we hate blacks, we want our great country back.
0	SaysMichele Bachmann said on Fox News, This country could use a president like Benjamin Franklin again.
1	If you are born poor in America, we rank ninth or tenth in our citizens ability to climb up through that ladder and get themselves into the middle class.
1	More than 60 percent of people in America support Planned Parenthood and only 11 percent approve of Congress.
1	Says $1,100 of the tuition paid by every Oregon university student annually goes just to pay the costs of PERS.
0	Ken Cuccinelli tried to shut down state government.
1	More people today are leaving Virginia than moving in.
0	Says Florida U.S. Reps. Corrine Brown, Alcee Hastings and Frederica Wilson are Socialists.
0	Seniors and the disabled will have to stand in front of Obamas death panel so his bureaucrats can decide, based on a subjective judgment of their level of productivity in society, whether they are worthy of health care.
1	Our community (Tampa Bay) is one of the 10 most threatened by the sea level rise in the world.
1	Seventy percent of Missourians support voter photo ID legislation.
0	Says Land Commissioner Jerry Patterson threatened to shoot him.
1	Says Hillary Clinton was completely exonerated, when I was in the White House by an officialinquiryon Whitewater.
1	Vagina. Because apparently, saying that word in the Michigan State House of Representatives can get you a two-day ban from speaking on the floor.
1	If Rhode Island applied a 1-percent sales tax on all items exempt from sales tax, ''the state would receive an additional $89,376,857.''
1	Nathan Deal saved the HOPE scholarship program.
1	"The proposed education changes ""will not cut one teacher's pay."""
1	Opponent Holly Benson said that Just because youre poor doesnt mean youre unhealthy, it just means you have a lot more time to go running.
1	The gap between the very rich and everyone else in America is wider today than at any time since the 1920s.
1	Marco Rubios economic proposals will add $3.5 trillion to the federal deficit.
1	Says New Jersey is 50th in return of our federal tax dollars.
1	All 28 members of NATO have pledged to spend at least 2 percent of their economy on defense. But only three countries do -- Britain, Greece and us.
1	Over the past 35 years, Florida families have paid into the (National Flood Insurance Program) over $16 billion, four times more than the amount they have received in claim reimbursements.
1	Says Hillary Clinton wonhealth care for 8 million children.
1	Ive been through four campaigns and have not done any negative campaigning.
1	More people die from medical misadventures than firearm accidents nationally and in Florida.
0	Loretta Lynch, the new nominee for attorney general, was a member of Bill Clintons defense team during the 1992 Whitewater corruption probe.
1	Americans are 20 times as likely to die from gun violence as citizens of other civilized countries.
0	U.S. Sen. Sheldon Whitehouse rewarded Wall Street executives with millions in bonuses.
0	Congressman Scott DesJarlais is spending his one year anniversary on vacation -- only working 6 days in all of January.
1	Theres just one piece of legislation that is now law with Sen. Ted Cruzsname on it.
1	Says Marco Rubio would take away a womans right to choose for victims of rape or incest.
1	Says at the state level were spending more on tax expenditures than we are on public safety, health care and education combined.
1	After years of 5.5 percent average tuition increases, we now have a two-year tuition freeze for the first time in the history of the UW System.
1	Georgia has one of the nations highest jet fuel taxes.
0	PolitiFact Oregon gave Rob Cornilles a Pants on Fire for a claim about taxes and fees.
1	Doctors, nurses, hospitals, even the pharmaceutical industry, (and) AARP say that health reform makes sense to do.
1	Says Donald Trump wants to keep big government in charge of federally-owned land.
0	The goal of Common Core is to instill federally determined attitudes and mindsets in students including political and religious beliefs.
0	Ive been a cop in Lake County, Michigan, since 1982 thereabout. I conduct federal raids with the DEA and ATF and U.S. Marshals and the FBI and Texas Rangers.
1	We lose an average of 90 Americans every day because of guns.
1	Says Virginia, Florida and Georgia are the three states that are the principal source for gun trafficking.
1	When President Obama took office, we were losing 700,000 jobs a month. Now weve had job growth, I think, for 24 consecutive months.
1	For every [coyote] they kill, the population will replace and usually multiply.
0	Bioweapon! Zika virus is being spread by GMO mosquitos (sic)
1	Says his promise of 250,000 new private sector jobs was a big goal.
1	Had the online change of address been in place in 2008 an estimated 130,000 voters who cast provisional ballots could have changed their address online and voted a regular ballot.
1	Saysthere are actually more people in poverty now than there were when we started the War on Poverty.
1	Says about NSA data collection: Every member in both parties who served on the Intelligence Committee voted in favor of this.
1	If you look at the states where soccer is most popular, theyre overwhelmingly blue states, and the states where soccer is least popular are red states.
0	Tens of thousands of fraudulent Clinton votes found in Ohio warehouse.
1	Since 2000, only 10 cases of in-person voter fraud have been proven nationally.
1	On Lee Fishers watch, almost nine out of 10 jobs that Ohio lost were lost to other states, not to other countries.
1	Taxes went down under Jerry Brown.
1	"Barack Obama said ""people making less than $250,000 would benefit from his plan"" then said ""if you're a family making less than $200,000, you'll benefit."""
1	Oil money from federal leases can only be used to clean up the mess and damages from drilling.
1	Says an average of $4 billion is added to the national debt every day.
1	The University of Texas is starting the first medical school at a major Tier One university in the last 50 years.
1	Theres 21 congressmen and senators that have been convicted of felonies that still get their retirement, even in jail. They dont have to wait until theyre 65.
1	The commercial property tax [in Providence] is second highest in the country behind Detroit.
1	Forty-five states allow open carry of firearms.
1	$6 billion water bond program voters passed in 2011 has yet to be tapped.
1	Since 1995, the top 400 wealthiest families have seen their incomes go up 400 percent and their tax rates go down 40 percent.
1	Knopp says he upheld a campaign promise not to join the Public Employees Retirement System (PERS).
1	Kilmartin has helped pass laws to create a witness protection program.
1	Says he vetoed $250,000 from the budget for a program to learn how to catch rainwater.
0	If you sell your house after 2012 you will pay a 3.8 percent sales tax on it.
0	Earlier this year, [John DePetro] was accused of sexually assaulting a female co-worker.
0	A company with 20 employees could go out of business because of health care law requirements to buy insurance.
1	The minimum wage is mostly an entry-level wage for young people.
0	McDonalds hamburgers are only 15 percent real beef. The other 85 percent is meat filler cleansed with ammonia, which causes stomach and intestinal cancer.
1	Almost 88,000 United States service members are still missing and unaccounted for, dating back to World War II.
1	Malawi has just 300 doctors for 16 million people.
1	No other public or private business in America except for the U.S. Postal Service must fund 100 percent of employee retirement and retirement health costs in advance.
1	During the last election, Democrats won over a million votes more than Republicans, but because of the way districts are designed, the Republicans got 33 more members of the House of Representatives than the Democrats did.
1	South Carolina has the fastest-growing economy in the Southeast.
0	Newt Gingrich says electric co-ops and credit unions are government-sponsored enterprises like Freddie Mac.
1	With her solution, terrorists can still today and by the way ISIS knows it, they have been advertising it buy guns online and at gun shows in the United States of America.
1	The Republicans have 2 percent of the Muslim vote.
0	Congressional lawmakers earn their salaries FOR LIFE, which for House Minority Leader Nancy Pelosi would add up to $803,700 Dollars a year for LIFE including FREE medical.
1	Says Tommy Thompsons tax plan amounts to an average tax cut of almost $87,000 for the top 1 percent.
1	The poverty level in the Dallas school district is one of the highest in the country, higher than New York, Chicago, Los Angeles, Houston, Detroit and Newark.
0	I watched in Jersey City, N.J., where thousands and thousands of people were cheering as the World Trade Center collapsed.
1	Says 55 percent of council members have come from area where only 10 percent of Austinites live.
1	In 1999, the NRA leadership in Washington, pretty much the same people intact, were for (expanded background checks.)
1	As a Congressman, J.D. Hayworth was an avid earmarker who supported such pork as $220,000 to renovate a Maine Blueberry farm and $5.8 million for a Vermont snowmobile trail.
1	Weve got to find 2 billion gallons (of water per day) between now and 2025.
0	Two years ago, the longest serving leader of the California republic, Jerry Brown, boldly declared in China that California is a separate nation.
1	President Obama's own director of national intelligence, Admiral Blair, put it this way: 'High-value information came from interrogations in which those methods were used and provided a deeper understanding of the al-Qaida organization that was attacking this country.'
0	Barbara Boxers worried about the weather instead of terrorism as the biggest threat to national security.
0	"Says Republican state leaders are using ""Soviet-style"" budget management."
1	McCain opposes repeal of the death tax.
1	Pakistan has 100 nuclear warheads and theyre rushing to build a lot more. Theyll have more than Great Britain sometime in the relatively near future.
1	Dave Brat worked on Democrat Gov. Tim Kaines Council of Economic Advisors while Kaine tried to raise our taxes by over $1 billion.
0	Says the Tennessee Wildlife Resources Agency brought coyotes into the state to try to keep the deer population down.
1	Says he predicts the weather better than Punxsutawney Phil.
1	Texas has outstripped the national poverty rate since at least 1959.
1	Says Hillary Clinton helped get done the Childrens Health Insurance Program.
0	Unemployment and the housing and auto industry crises can be fixed by giving a million dollars to every worker over age 50 to retire.
0	Says Hillary Clinton shows up in Broward County and had a private meeting with elections supervisor Brenda Snipes.
0	Sheila Jackson Lee of Texas said: Hey, all you wrinkly, white-aged has-beens: Its time for you to die and let the next generation have your spot on the planet.
1	"We had bipartisan legislation that got through the Senate that would have prevented bonuses like AIG's ""and then somehow mysteriously disappeared."""
1	This Congress made history as the least productive, most unpopular Congress in the history of this proud nation.
1	90 percent of all pain medications are prescribed in the United States.
0	Forty years ago, hardly anybody in the country had health insurance.
1	Obamas job approval rating is up.
1	Says in his years as a Texas legislator, we passed three pay increases for teachers and provided them with health insurance.
1	When Deborah took office, the (Sellwood Bridge) project had languished for years, with only $11 million in funds. With her leadership the remaining funding was secured that got the project moving forward.
1	Says Rick Scott thinks employers should be able to deny women coverage for birth control.
0	Hillary Clinton says she wants to, raise taxes on the middle class.
1	The American people say, dont touch Social Security, dont touch Medicare, dont cut defense. Thats 84 percent of the federal budget.
1	(Chris Christie) has not paid one dollar of state money into our pension system, and then states that the system is broke.
0	The WIC program is an incredibly cost effective program, serving nearly 10 million Americans each year and costing less than $100 per person. In my district, more than 18 percent of residents suffer from food insecurity and depend on WIC to make ends meet.
0	"Denies that he said the Obama campaign ""played the race card."""
1	Nearly 180,000 illegal immigrants with criminal records, ordered deported from our country, are tonight roaming free to threaten peaceful citizens.
1	Based on the August 2012 national jobs numbers, for every person who got a job, nearly four people stopped looking for a job.
1	Seventy-two percent of Georgians did not have a chance to finish college.
1	Says Ronald Reagan understood repeatedly that when the deficit started to get out of control, that for him to make a deal he would have to propose both spending cuts and tax increases.
1	"The GOP health care plan ""would allow health insurance companies to continue engaging in unfair and discriminatory practices like denying coverage to people because of a pre-existing medical condition."""
1	We bailed out Johnson Controls when we saved the auto industry and now they want to avoid paying taxes.
0	Says 97 cents of every dollar played represents over $500 million dollars that is returned to Oregonians every year to help support job creation, schools, state parks and watersheds.
1	@Jorge_Elorza still think your plan is safe? Rescue Captain Kenyon just worked 96 hours straight. 96 hours.
1	Fifty percent of Speaker Gingrichs tax plan goes to the top 1 percent.
0	Lady Gaga announced she would cover her face until Trump gets fired from office.
1	More people were killed by terrorists in 2015 than in any other year ever, after an 80 percentincrease from 2014.
1	Says Mitt Romney is wrong to claim that spending under Obama has accelerated at a pace without precedent in recent history, because its actually risen slower than at any time in nearly 60 years.
1	Since 2007 David Jolly has given almost $30,000 to keep Democrats in Congress!
0	Says Marilinda Garcia supports $150 billion in new taxes.
1	We admit about 100,000 permanent immigrants from the Middle East every year.
0	In 2012, 1 in 4 Wisconsin schools had a subpar score on the Department of Public Instructions recent report cards and are failing the children they serve.
0	Says 11 states have more people on welfare than employed.
1	We've heard talk about curbing our use of fossil fuels in nearly every State of the Union address since the oil embargo of 1973.
1	Austin is the biggest city in America with a Tier One research university (UT-Austin) but without a medical school.
1	The United States (is) the largest provider of humanitarian assistance to displaced persons and refugees.
1	Says a drug test can be performed for just $4 or $5.
1	A part-time Congress with half the pay would still make $38,000 a year more than the average American family.
1	The two worst counties for (Medicaid) fraud in the country -- not state -- are Dade and Broward county.
1	Theres pretty much no question that [the curfew ordinances] arent effective in either reducing crime or preventing harm to young people.
0	The federal Hate Crimes Prevention Act bill would create special protection for pedophiles.
0	New Virginia regulations on abortion clinics provide the same sanitary environment we expect of dental offices.
0	Says Marco Rubio said we should be considering internment of Muslims, and maybe we should close down cafes and diners where Muslims gather and in fact compared them to the Nazi party.
1	Every day, a black name resume is 50 percent less likely to get responded to than a white nameresume.
1	Wisconsins state budget is almost twice as large per person as the state budget of Texas, and even after billions in tax cuts, Wisconsins working families and businesses remain subject to a heavy tax burden.
1	Proposed cuts in the House farm bill mean 2 million less people on food stamps, 210,000 children will not receive school lunches or breakfasts.
1	Last year, Korea sold nearly half a million cars in our country. ... The United States, you know how much we sell to them? Six thousand. What kind of deal is that?
0	Says Barack Obama was happily photographed holding a T-shirt with revolutionary Ernesto Che Guevaras face on it.
1	Says Patrick Murphy is one of only three Democrats in the House today who voted to create the Benghazi committee.
1	We waterboard, incidentally, hundreds of our own military personnel. They waterboard themselves in training to toughen themselves up.
1	The only time in our history when the debt has been higher than this was the end of World War II.
1	When we had a conservative Republican president we were losing 750,000 jobs a month.
0	The University of Wisconsin-Milwaukee has 2.8 students per faculty member, tied for second-lowest in its history since 1994.
1	Oregon concealed gun applications include home phone numbers, home address, Social Security numbers, what kinds of guns you have in the house whether you were dishonorably discharged from the military, what controlled substances you are taking and were you ever accused of -- accused, mind you -- of stalking.
1	Kendrick Meek is the only candidate who has consistently been against expanded drilling.
1	Says businesses already pay most of the taxes.
1	Says if Oregon had limited its budget growth to the rate of population growth plus the rate of inflation, the states all-funds budget would be about $27 billion today, not $60 billion.
1	If you have a job in this country, (theres a) 97 percent chance that youre not going to be in poverty.
1	Were paying out-of-state residential facilities hundreds of thousands of dollars, if not more, to house children in state custody
1	About 40 percent of U.S. illegal immigrants came in on an airplane, with a legal visa, and just overstayed their visa and have never gone home.
0	Today President Obama said there will NOT be a National Day of Prayer in May.
0	Says a man in Ferguson, Mo., was photographed holding a sign that said, No mother should have to fear for her sons life every time he robs a store.
1	Emergency rooms account for 2 percent of all health care spending.
0	A report in Navy Times said that 7.3 percent of Army, Navy and Marines have thought about attempting suicide.
1	Mark Kirks claim of national security expertise is based on his military record which he lied about at least 10 times.
0	Mitt Romney, Rick Perry, and Newt Gingrich all say they would cut foreign aid to Israel and every other country to zero.
1	Forty percent of illegal immigrants are people coming legally on visas and overstaying their visas.
1	Says Ron Johnson voted to turn Medicare into a voucher program.
1	In a majority of states, you can now marry freely, but can still be fired for who you love.
1	Says Travis Countys unemployment rate is below the national average while its poverty rate exceeds the national average--and local poverty is rising.
1	7 out of 10 Oregon families living in poverty have at least one parent who works.
1	Says Donald Trump said the U.S. should encourage Japan to get nuclear weapons.
0	﻿Says JoAnne Kloppenburgs side had a 3-to-1 money advantage in the Wisconsin Supreme Court campaign.
0	Residential property taxes [in Providence] are up nearly 27 percent under Mayor Taveras.
1	Dan Webster would force victims of rape and incest to bear their attackers child.
1	Irans defense budget is $30 billion. Our defense budget is closer to $600 billion.
1	Says TriMet now spends $1.63 in benefits for every $1.00 spent on wages.
1	Says DonaldTrump proposes tax cuts, too -- $3 trillion for millionaires like himself and $2 trillion for corporations like his.
0	Says President Barack Obamas recent New York fundraising trip cost between $25 million and $50 million.
1	As many as six federal department budget bills have been delayed because of opposition to amendments that would ban Confederate battle flag sales at federal building gift shops.
0	Members of Congress can retire with the same pay after only one term in office
1	Says Obama adviser David Plouffe took large piles of cash from a joint venture partner of a company owned by Irans Revolutionary Guard.
1	We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.
1	Says Trump ties are made in China, not Colorado. Trump suits in Mexico, not Michigan. Trump furniture in Turkey, not Ohio. Trump picture frames in India, not Wisconsin.
1	A majority of the American people opposed the health care law when it was signed and still oppose it today.
1	Of the topfive cities for staged automobile accidents, three are in Florida. We rank No. 1 in the country in staged auto accidents.
1	The top 1/10th of 1 percent today in America owns almost as much wealth as the bottom 90 percent.
0	Super Bowl Sunday has the highest rate of domestic violence.
1	We have dozens of districts that go for 150 to 200 miles, splitting counties, splintering cities and connecting areas that have very little in common.
0	Says in the last 20 years, the French have not stood by the United States on foreign policy.
1	I have a record on the environment of creating green energy ... taking trash and turning it into cash.
1	For 21 countries in Sub-Saharan Africa, we simply do not have data to say anything about trends in poverty.
1	Says Texas ranks 49th nationally in what we are doing to support our per-pupil investment in education in the state.
1	More than half of our unemployed Ohioans have been out of work for six months or more.
1	"In the 1950s, ""A lot of people got rich and they had to pay a top tax rate of 90 percent."""
0	Says Ted Cruzs father was with Lee Harvey Oswald before the assassination of President John F. Kennedy.
1	Says women who need a sonogram in the eighth to 10th week of pregnancy have to get a transvaginal sonogram.
1	President Obamas recent plan to cut $100 million of waste within his administration wont actually save money because hes going to spend it elsewhere.
1	A federal judge said President Barack Obamas executive action on immigration is unconstitutional.
1	57% of the jobs created in Austin from 2009 to 2013 do not pay families a living wage.
1	HIV/AIDS is dramatically on the rise in the U.S. South.
1	Twenty-four percent of doctors in Virginia currently dont accept new Medicaid patients because the reimbursement rates are so low.
0	Austin is effectively imposing a ban on barbecue restaurants.
1	More than 1,000 people ... move to Texas every day.
1	In 2006, Bernie Sanders voted in the House with hard-line Republicans for indefinite detention for undocumented immigrants, and then he sided with those Republicans to stand with vigilantes known as Minutemen who were taking up outposts along the border to hunt down immigrants.
